BRANCHCODE;BRANCHINFO;INSTITUTIONNAME;PHYSICALADDRESS;COUNTRYNAME;SWIFTCODE;CITYNAME
220000;JABULANI EZIGWILINI;FIRSTRAND BANK;9 KERK STREET, 2ND FLOOR, BLOCK E;SOUTH AFRICA;FIRNZAJJ;JABULANI EZIGWILINI
220001;VAN RIEBEECK;FIRSTRAND BANK;9 KERK STREET, 2ND FLOOR, BLOCK E;SOUTH AFRICA;FIRNZAJJ;VAN RIEBEECK
220101;CC-CROSS SKILL ACADEMY;FIRSTRAND BANK;UNPAIDS TO GOLDREEF DAY 2 TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;CC-CROSS SKILL ACADEMY
220131;GREYTOWN                   234;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;GREYTOWN                   234
220129;STANGER                    373;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;STANGER                    373
220127;GALLERIA;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;GALLERIA
220128;MARGATE,    NTL            296;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;MARGATE,    NTL            296
220130;EMPANGENI               216;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;EMPANGENI               216
220126;BEACH, DBN                 088;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;BEACH, DBN                 088
220123;HARDING.                   240;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;HARDING.                   240
220122;KOKSTAD 272;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;KOKSTAD 272
220225;CITY SQUARE                094;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;CITY SQUARE                094
220230;ESHOWE                     219;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;ESHOWE                     219
220228;PORT SHEPSTONE             348;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;PORT SHEPSTONE             348
220229;VERULAM, NTL               091;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;VERULAM, NTL               091
220223;IXOPO 255;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;IXOPO 255
220231;DALTON                     199;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;DALTON                     199
220226;DAVENPORT BRANCH        087;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;DAVENPORT BRANCH        087
220323;TYGERVALLEY                936;FIRSTRAND BANK;UNPAIDS TO BLOEMFONTEIN DAY 2 TEL 051 505 3111;SOUTH AFRICA;FIRNZAJJ;TYGERVALLEY                936
220325;ESTCOURT                   220;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;ESTCOURT                   220
220322;MATATIELE 298;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;MATATIELE 298
220301;NORTHERN 2;FIRSTRAND BANK;MENLYN PLACE;SOUTH AFRICA;FIRNZAJJ;NORTHERN 2
220329;TONGAAT, NTL               389;FIRSTRAND BANK;320 MAIN ROAD UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;TONGAAT, NTL               389
220327;UMKOMAAS                   398;FIRSTRAND BANK;22-24 BARROW & BRARROW STREET UNPAIDS TO EAST;SOUTH AFRICA;FIRNZAJJ;UMKOMAAS                   398
220328;UMZINTO, NTL               400;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;UMZINTO, NTL               400
220330;MTUBATUBA, NTL             309;FIRSTRAND BANK;CNR ST LUCIA & JAN SMUTS AVE UNPAIDS EAST COAS;SOUTH AFRICA;FIRNZAJJ;MTUBATUBA, NTL             309
220303;CAPE TOWN WILLOWBRIDGE NORTH;FIRSTRAND BANK;39 CARL CRONJE & OLD OAK ROAD;SOUTH AFRICA;FIRNZAJJ;CAPE TOWN WILLOWBRIDGE NORTH
220302;PC INLAND REGION;FIRSTRAND BANK;MENLYN PLACE;SOUTH AFRICA;FIRNZAJJ;PC INLAND REGION
220430;NONGOMA, NTL               315;FIRSTRAND BANK;SHOP 1 KWA MNQANDI MAIN RD UNPAIDS TO EAST COA;SOUTH AFRICA;FIRNZAJJ;NONGOMA, NTL               315
220428;FNB HOME FINANCE;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2 TEL 011 490 5911;SOUTH AFRICA;FIRNZAJJ;FNB HOME FINANCE
220429;MANDENI, NTL               294;FIRSTRAND BANK;SHOP 5, SPAR CENTRE,MAIN ROAD;SOUTH AFRICA;FIRNZAJJ;MANDENI, NTL               294
220422;MBIZANA                    170;FIRSTRAND BANK;MAIN STREET UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;MBIZANA                    170
220425;LADYSMITH KWAZULU-NATAL;FIRSTRAND BANK;198 MURCHISON STREET UNPAIDS TO EAST COAST DAY;SOUTH AFRICA;FIRNZAJJ;LADYSMITH KWAZULU-NATAL
220426;DURBAN NORTH               079;FIRSTRAND BANK;CNR.BROADWAY AND ST.ANDREW UNPAIDS TO EAST COA;SOUTH AFRICA;FIRNZAJJ;DURBAN NORTH               079
220526;FLORIDA ROAD;FIRSTRAND BANK;267 FLORIDA ROAD UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;FLORIDA ROAD
220529;PHOENIX                    649;FIRSTRAND BANK;SHOP 102 PHOENIX PLAZA UNPAIDS EAST COAST DAY;SOUTH AFRICA;FIRNZAJJ;PHOENIX                    649
220530;HLUHLUWE, NTL              249;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;HLUHLUWE, NTL              249
220525;MOOI RIVER                 305;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;MOOI RIVER                 305
220501;IT SSD APPLICATION DEVELOP;FIRSTRAND BANK;NO 2, FIRST PLACE 5TH FLOOR;SOUTH AFRICA;FIRNZAJJ;IT SSD APPLICATION DEVELOP
220625;BERGVILLE                  166;FIRSTRAND BANK;CNR WEST & SOUTH STREETS UNPAIDS TO EAST COAST;SOUTH AFRICA;FIRNZAJJ;BERGVILLE                  166
220629;UMHLANGA CRESCENT 501;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;UMHLANGA CRESCENT 501
220725;HOWICK                     253;FIRSTRAND BANK;20 MAIN STREET UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;HOWICK                     253
220730;ULUNDI, NTL                452;FIRSTRAND BANK;CNR PRINCESS MAGOGO STR & KING DINUZULU STREET;SOUTH AFRICA;FIRNZAJJ;ULUNDI, NTL                452
220830;RICHARDS BAY               490;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;RICHARDS BAY               490
220825;BANK STREET                095;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;BANK STREET                095
220930;MELMOTH, NTL               498;FIRSTRAND BANK;REINHOLD STREET UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;MELMOTH, NTL               498
220926;QUEEN ST, DBN              089;FIRSTRAND BANK;118-120 QUEEN STREET UNPAIDS TO EAST COAST DAY;SOUTH AFRICA;FIRNZAJJ;QUEEN ST, DBN              089
221026;MOBENI                     075;FIRSTRAND BANK;1341 SOUTH COAST ROAD TO UNPAIDS EAST COAST;SOUTH AFRICA;FIRNZAJJ;MOBENI                     075
221025;UNDERBERG, NATAL           887;FIRSTRAND BANK;MAIN STREET UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;UNDERBERG, NATAL           887
221030;MKUZE SERVICE BRANCH       668;FIRSTRAND BANK;MAINROAD UNPAIDS EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;MKUZE SERVICE BRANCH       668
221126;MUSGRAVEROAD DBN 090;FIRSTRAND BANK;10-18 CLIFTON PLACE MUSGRAVE RD UNPAIDS TO;SOUTH AFRICA;FIRNZAJJ;MUSGRAVEROAD DBN 090
221226;DURBAN CORPORATE FOREX 083;FIRSTRAND BANK;RYDALL VALE PARK DOUGLAS SAUNDERS DRIVE;SOUTH AFRICA;FIRNZAJJ;DURBAN CORPORATE FOREX 083
221225;SBV PIETERMARITZBURG 653;FIRSTRAND BANK;111 MAY STREET GREYVILLE UNPAIDS TO EAST;SOUTH AFRICA;FIRNZAJJ;SBV PIETERMARITZBURG 653
221325;BOOM STREET                674;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;BOOM STREET                674
221326;NATAL BANK, DBN            085;FIRSTRAND BANK;306 WEST STREET UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;NATAL BANK, DBN            085
221426;DURBAN                     084;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;DURBAN                     084
221425;HAYFIELDS 1                677;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;HAYFIELDS 1                677
221526;KLOOF,                     073;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;KLOOF,                     073
221626;PINETOWN                   081;FIRSTRAND BANK;CNR DALES AVE & CROMPTON STS UNPAIDS TO EAST;SOUTH AFRICA;FIRNZAJJ;PINETOWN                   081
221826;RICHMOND, NTL              356;FIRSTRAND BANK;CNR NELSON & CHILLEY STREETS;SOUTH AFRICA;FIRNZAJJ;RICHMOND, NTL              356
221926;BRIARDENE                  076;FIRSTRAND BANK;510 NORTH COAST ROAD UNPAIDS TO EAST DAY 2;SOUTH AFRICA;FIRNZAJJ;BRIARDENE                  076
222026;RMB PRIVATE BANK PRETORIA  071;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2 TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;RMB PRIVATE BANK PRETORIA  071
222019;CROWN MINES;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2 TEL NO. 011 490 591;SOUTH AFRICA;FIRNZAJJ;CROWN MINES
222126;359 WEST STREET, DURBAN    086;FIRSTRAND BANK;359 WEST STREET DURBAN UNPAIDS TO EAST COAST;SOUTH AFRICA;FIRNZAJJ;359 WEST STREET, DURBAN    086
222226;OPS TRADE SERVICES-MED CORP SE;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2 TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;OPS TRADE SERVICES-MED CORP SE
222526;DURBAN PROCESSING CENTRE   437;FIRSTRAND BANK;111 MAY STREET;SOUTH AFRICA;FIRNZAJJ;DURBAN PROCESSING CENTRE   437
222726;GREYVILLE, DBN             500;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031- 717 3000;SOUTH AFRICA;FIRNZAJJ;GREYVILLE, DBN             500
222826;OVERPORT, DBN              499;FIRSTRAND BANK;109 GROUND FLOOR VERPOORT CITY  UNPAIDS TO EAS;SOUTH AFRICA;FIRNZAJJ;OVERPORT, DBN              499
222926;CHATSWORTH                 514;FIRSTRAND BANK;SHOP 210B  CHATSWORTH CENTRE UNPAIDS TO EAST;SOUTH AFRICA;FIRNZAJJ;CHATSWORTH                 514
223026;CASH OPERATIONS DURBAN     653;FIRSTRAND BANK;111 MAY STREET GREYVILLE UNPAIDS EAST COAST DA;SOUTH AFRICA;FIRNZAJJ;CASH OPERATIONS DURBAN     653
223226;NEW GERMANY 451;FIRSTRAND BANK;75 SHEPSTONE ROAD UNPAIDS TO EAST COAST DAY 2;SOUTH AFRICA;FIRNZAJJ;NEW GERMANY 451
223326;SSD KZN - MAIN;FIRSTRAND BANK;BLOCK D3/4/5 UMGENI BUSINESS PARK;SOUTH AFRICA;FIRNZAJJ;SSD KZN - MAIN
223426;KZN REGION;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;KZN REGION
223526;WESTVILLE, DBN             888;FIRSTRAND BANK;1 FNB BLDG BUCKINGHAM TERRACE UNPAIDS TO;SOUTH AFRICA;FIRNZAJJ;WESTVILLE, DBN             888
223626;RMB CORPORATE BANKING;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;RMB CORPORATE BANKING
223726;HILLCREST;FIRSTRAND BANK;THE VILLAGE CENTRE 59 OLD MAIN RD UNPAIDS TO;SOUTH AFRICA;FIRNZAJJ;HILLCREST
223926;FNB SSD GAUTENG NORTH MAIN;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2, TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;FNB SSD GAUTENG NORTH MAIN
223927;SSD GAUTENG NORTH RETAILER;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2, TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;SSD GAUTENG NORTH RETAILER
224026;SM BOE - DURBAN;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2, TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;SM BOE - DURBAN
224226;KZN CREDIT 10-40;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000 2;SOUTH AFRICA;FIRNZAJJ;KZN CREDIT 10-40
224326;THE PAVILION               835;FIRSTRAND BANK;THE PAVILLION S/CENTRE PINE ROAD;SOUTH AFRICA;FIRNZAJJ;THE PAVILION               835
224426;GAUTENG CREDIT 10-40;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2, TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;GAUTENG CREDIT 10-40
224526;WESBANK CSC KWAZULU/NATAL 664;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2, TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;WESBANK CSC KWAZULU/NATAL 664
225026;G4S PROCESS CNTR KLERKSDORP;FIRSTRAND BANK;UNPAIDS TO BLOEMFONTEIN DAY 2 TEL 051-505-3111;SOUTH AFRICA;FIRNZAJJ;G4S PROCESS CNTR KLERKSDORP
225126;SSD KZN NCR 3;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;SSD KZN NCR 3
229826;FNB PVT WEALTH KZN;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;FNB PVT WEALTH KZN
229926;CBS CREDIT NORTH WEST ZONE;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2 TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;CBS CREDIT NORTH WEST ZONE
229918;SAKHILE CENTRE;FIRSTRAND BANK;SHOP 20, CNR WITSAND & SOTSETSI ROAD;SOUTH AFRICA;FIRNZAJJ;SAKHILE CENTRE
230006;LBL BALANCING BLIND COUNT;FIRSTRAND BANK;2 FIRST PLACE 5TH STREET;SOUTH AFRICA;FIRNZAJJ;LBL BALANCING BLIND COUNT
230004;KZN MANAG NON FNB CASH CNT;FIRSTRAND BANK;35 INTERSITE AVENUE;SOUTH AFRICA;FIRNZAJJ;KZN MANAG NON FNB CASH CNT
230007;SBV VEREENIGING;FIRSTRAND BANK;5 FRASER STREET;SOUTH AFRICA;FIRNZAJJ;SBV VEREENIGING
230003;KZN MANAGED FNB CASH CENTRE;FIRSTRAND BANK;35 INTERSUITE AVENUE;SOUTH AFRICA;FIRNZAJJ;KZN MANAGED FNB CASH CENTRE
230008;PRIVATE CLIENTS RMB;FIRSTRAND BANK;5 MERCHANT PLACE;SOUTH AFRICA;FIRNZAJJ;PRIVATE CLIENTS RMB
230005;KZN OFFS NON FNB CASH CNT;FIRSTRAND BANK;35 INTERSITE AVENUE;SOUTH AFRICA;FIRNZAJJ;KZN OFFS NON FNB CASH CNT
230009;PC KZN COASTAL;FIRSTRAND BANK;ACACIA HOUSE;SOUTH AFRICA;FIRNZAJJ;PC KZN COASTAL
230001;CENTRAL SLA & DIRECT COST;FIRSTRAND BANK;NO.2 FIRST PLACE 3RD FLOOR;SOUTH AFRICA;FIRNZAJJ;CENTRAL SLA & DIRECT COST
230002;KZN OFFSITE FNB CASH CENTRE;FIRSTRAND BANK;35 INTERSITE AVENUE;SOUTH AFRICA;FIRNZAJJ;KZN OFFSITE FNB CASH CENTRE
230102;KIMBERLEY, C.P.            263;FIRSTRAND BANK;UNPAID BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;KIMBERLEY, C.P.            263
230136;BOTHAVILLE, OFS            176;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;BOTHAVILLE, OFS            176
230139;LOCH LOGAN;FIRSTRAND BANK;UNPAIDS TO BLOEMFONTEIN DAY 2 TEL 051 410-0374;SOUTH AFRICA;FIRNZAJJ;LOCH LOGAN
230140;OPERATIONAL RISK;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2 TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;OPERATIONAL RISK
230143;CTB PROCESSING WITBANK;FIRSTRAND BANK;956 PAUL KRUGER STREET;SOUTH AFRICA;FIRNZAJJ;CTB PROCESSING WITBANK
230145;ZAMBESI DRIVE;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY2 TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;ZAMBESI DRIVE
230146;HIGHVELD MALL;FIRSTRAND BANK;SHOP 55 HIGHVELD MALL, PRESIDENT STREET;SOUTH AFRICA;FIRNZAJJ;HIGHVELD MALL
230109;PLATINUM FNB;FIRSTRAND BANK;3 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;PLATINUM FNB
230110;RMB;FIRSTRAND BANK;3 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;RMB
230111;PRIVATE CLIENTS;FIRSTRAND BANK;3 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;PRIVATE CLIENTS
230112;BUSINESS;FIRSTRAND BANK;3 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;BUSINESS
230113;CORPORATE;FIRSTRAND BANK;3 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;CORPORATE
230114;BULK DEPOSIT ACCEPTOR;FIRSTRAND BANK;2 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;BULK DEPOSIT ACCEPTOR
230115;FNB LOANS DA CALL CENTRE;FIRSTRAND BANK;108 DE WAAL ROAD;SOUTH AFRICA;FIRNZAJJ;FNB LOANS DA CALL CENTRE
230132;REGIONAL CENTRE - EAST COAST;FIRSTRAND BANK;1ST FLOOR FNB BUILDING 47 CROMPTON STREET;SOUTH AFRICA;FIRNZAJJ;REGIONAL CENTRE - EAST COAST
230105;RESIDENTIAL DEVELOPMENT;FIRSTRAND BANK;3RD FLOOR;SOUTH AFRICA;FIRNZAJJ;RESIDENTIAL DEVELOPMENT
230108;SILVER FNB;FIRSTRAND BANK;3 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;SILVER FNB
230103;DOUGLAS, C.P.              209;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;DOUGLAS, C.P.              209
230107;BDA BALANCING;FIRSTRAND BANK;2ND FLOOR, 2 FIRST PLACE;SOUTH AFRICA;FIRNZAJJ;BDA BALANCING
230104;KAKAMAS,C.P.               259;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;KAKAMAS,C.P.               259
230106;FNB PRIVATE BANK SANDTON;FIRSTRAND BANK;9 FREDMAN DRIVE;SOUTH AFRICA;FIRNZAJJ;FNB PRIVATE BANK SANDTON
230101;FIDELITY EDENVALE;FIRSTRAND BANK;LONGMEADOW OFFICE PARK;SOUTH AFRICA;FIRNZAJJ;FIDELITY EDENVALE
230134;BLOEMFONTEIN  OFS          171;FIRSTRAND BANK;41 CHARLOTTE MAXEKE STREET;SOUTH AFRICA;FIRNZAJJ;BLOEMFONTEIN  OFS          171
230133;BETHLEHEM,OFS              168;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;BETHLEHEM,OFS              168
230236;HEILBRON, O.F.S.           245;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;HEILBRON, O.F.S.           245
230234;PRELLER PLEIN              172;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;PRELLER PLEIN              172
230202;BARKLY WEST                162;FIRSTRAND BANK;UNPAIDS TO BLOEMFONTEIN DAY 2 TEL 051 410-0374;SOUTH AFRICA;FIRNZAJJ;BARKLY WEST                162
230204;KEIMOES, C.P.              260;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;KEIMOES, C.P.              260
230203;HOPETOWN, C.P.             252;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;HOPETOWN, C.P.             252
230303;JACOBSDAL,OFS              256;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;JACOBSDAL,OFS              256
230335;ODENDAALSRUS, OFS          318;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;ODENDAALSRUS, OFS          318
230302;KURUMAN, C.P.              277;FIRSTRAND BANK;UNPAIDS TO BLOEMFONTEIN DAY 2 TEL 051 410-0374;SOUTH AFRICA;FIRNZAJJ;KURUMAN, C.P.              277
230333;FICKSBURG                  224;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;FICKSBURG                  224
230433;FRANKFORT, OFS             227;FIRSTRAND BANK;59A JJ HADEBE STREET;SOUTH AFRICA;FIRNZAJJ;FRANKFORT, OFS             227
230435;THEUNISSEN, OFS            388;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;THEUNISSEN, OFS            388
230436;KROONSTAD, OFS             276;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;KROONSTAD, OFS             276
230434;FNB HOME FINANCE;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY2 TEL 011 490-5911;SOUTH AFRICA;FIRNZAJJ;FNB HOME FINANCE
230402;POSTMASBURG                349;FIRSTRAND BANK;UNPAIDS TO BLOEMFONTEIN DAY 2 TEL 051 410-0374;SOUTH AFRICA;FIRNZAJJ;POSTMASBURG                349
230504;PRIESKA,C.P.               352;FIRSTRAND BANK;UNAPIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;PRIESKA,C.P.               352
230534;BRANDWAG, OFS              507;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;BRANDWAG, OFS              507
230535;VIRGINIA, OFS              410;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;VIRGINIA, OFS              410
230533;HARRISMITH                 241;FIRSTRAND BANK;UNPAIDS TO EAST COAST DAY 2 TEL 031 717-3000;SOUTH AFRICA;FIRNZAJJ;HARRISMITH                 241
230635;WELKOM, OFS                423;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;WELKOM, OFS                423
230636;MARQUARD, O.F.S.           297;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;MARQUARD, O.F.S.           297
230632;WEPENER,OFS                425;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;WEPENER,OFS                425
230604;UPINGTON,C.P.              402;FIRSTRAND BANK;UNPAIDS TO BLOEMFONTEIN DAY 2 TEL 051 410-0374;SOUTH AFRICA;FIRNZAJJ;UPINGTON,C.P.              402
230704;GROBLERSHOOP,C.P.          237;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;GROBLERSHOOP,C.P.          237
230734;CASH SERVICE CENTRE BFN    924;FIRSTRAND BANK;41 MAITLAND STREET , SOUTHERN LIFE PLAZA;SOUTH AFRICA;FIRNZAJJ;CASH SERVICE CENTRE BFN    924
230736;PARYS                      326;FIRSTRAND BANK;UNPAIDS TO GOLD REEF DAY 2 TEL NO. 011 490-591;SOUTH AFRICA;FIRNZAJJ;PARYS                      326
230735;WESSELSBRON, OFS           426;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;WESSELSBRON, OFS           426
230702;OLIFANTSHOEK, C.P.         320;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;OLIFANTSHOEK, C.P.         320
230732;WOODLANDS BOULEVARD        371;FIRSTRAND BANK;SHOP 50B , WOODLANDS BOULEVARD S/CENTRE;SOUTH AFRICA;FIRNZAJJ;WOODLANDS BOULEVARD        371
230733;LADYBRAND                  280;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;LADYBRAND                  280
230833;REITZ, O.F.S.              355;FIRSTRAND BANK;UNPAIDS BLOEMFONTEIN DAY 2 TEL 051 505-3111;SOUTH AFRICA;FIRNZAJJ;REITZ, O.F.S.              355
